"question","tb_pre","tb_post","sob_pre","sob_post","lscs_pre","lscs_post","jau_pre","jau_post","hrt_pre","hrt_post","epi_pre","epi_post"
"Q 1",44.3,55,89.9,92.8,83.5,89.5,30.3,71.7,85.2,89.5,32.4,66.9
"Q 2",86.9,90.4,61.4,57.3,78,83.3,31.7,53.3,75.8,82,72.6,76.8
"Q 3",47.5,49.7,32,55.3,76.8,82.7,19.7,69.6,62.4,70.9,81.6,84.6
"Q 4",51.7,60,52.7,49.8,75.9,75,79.1,82.8,90.4,93.7,81.4,84.4
"Q 5",58,63.4,41.1,64.3,43.1,49.4,35.1,71,83.2,84.3,41.7,42.7
"Q 6",48.2,66.7,15.4,14.8,86.5,86.4,82.4,86.9,75.5,81.1,61.7,81.5
"Q 7",79.7,84.1,77.4,81.7,64.1,76,68,76.6,77.8,81.8,62.3,67.4
"Q 8",44.7,50.6,84.8,87.4,80.9,86,33.5,65.6,85.9,84.9,33,31.3
"Q 9",76.7,84.1,77.9,86.4,85.5,87.1,21,72.4,68.7,76.3,29.8,48.4
"Q 10",0,0,82,88.8,73.7,79,0,0,0,0,0,0
