"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","gdm_pre","gdm_post","aph_pre","aph_post","tb_pre","tb_post","sob_pre","sob_post","lscs_pre","lscs_post","jau_pre","jau_post","hrt_pre","hrt_post","epi_pre","epi_post"
"Q 1","34.2","49.1","81.7","89.2","91.8","95.2","17.8","63.5","42.8","73.0","45.0","54.5","90.1","93.0","83.3","89.3","29.5","70.9","84.9","89.0","33.5","68.9"
"Q 2","79.3","88.0","78.0","90.1","52.3","69.0","17.5","52.0","83.3","90.7","86.7","89.9","60.6","57.3","78.1","83.4","32.0","52.3","76.0","81.3","72.5","76.9"
"Q 3","64.1","75.0","70.6","81.9","72.4","84.1","36.8","55.1","58.7","74.9","46.3","47.6","32.7","54.1","76.7","82.4","20.2","69.1","62.6","70.4","81.1","84.2"
"Q 4","51.2","63.5","71.1","78.5","83.7","82.3","42.8","56.4","90.5","95.5","51.6","59.5","52.2","48.8","75.1","74.8","79.0","82.5","90.2","93.3","80.7","83.9"
"Q 5","97.4","98.8","98.0","98.9","82.2","91.8","84.5","94.3","49.3","74.8","56.5","61.4","40.0","64.2","42.8","48.7","35.3","71.8","83.7","84.6","41.7","41.4"
"Q 6","73.8","84.0","68.2","75.2","43.7","69.0","85.8","89.5","75.1","84.7","47.8","65.9","15.7","14.9","86.2","86.1","82.2","86.2","74.8","80.2","62.8","82.6"
"Q 7","81.7","94.3","53.1","57.9","85.4","86.8","25.0","57.4","84.6","90.6","78.6","83.6","76.6","81.0","63.4","75.4","68.3","76.4","77.6","81.3","61.4","67.8"
"Q 8","83.4","92.3","42.2","54.2","78.7","89.0","66.2","61.1","51.6","63.9","45.7","49.8","83.2","85.0","80.4","86.1","33.3","64.4","85.8","84.9","33.8","31.2"
"Q 9","56.5","82.1","41.8","59.9","37.9","53.7","86.0","89.3","69.6","83.0","76.2","83.9","78.0","86.3","85.0","86.7","21.5","72.7","68.1","75.7","30.3","48.0"
"Q 10","76.3","85.5","61.8","66.5","73.9","77.6","16.8","38.7","59.2","73.9","0.0","0.0","82.1","88.5","73.4","79.3","0.0","0.0","0.0","0.0","0.0","0.0"
