"question","tb_pre","tb_post","sob_pre","sob_post","lscs_pre","lscs_post","jau_pre","jau_post","hrt_pre","hrt_post","epi_pre","epi_post"
"Q 1","45.0","54.5","90.1","93.0","83.3","89.3","29.5","70.9","84.9","89.0","33.5","68.9"
"Q 2","86.7","89.9","60.6","57.3","78.1","83.4","32.0","52.3","76.0","81.3","72.5","76.9"
"Q 3","46.3","47.6","32.7","54.1","76.7","82.4","20.2","69.1","62.6","70.4","81.1","84.2"
"Q 4","51.6","59.5","52.2","48.8","75.1","74.8","79.0","82.5","90.2","93.3","80.7","83.9"
"Q 5","56.5","61.4","40.0","64.2","42.8","48.7","35.3","71.8","83.7","84.6","41.7","41.4"
"Q 6","47.8","65.9","15.7","14.9","86.2","86.1","82.2","86.2","74.8","80.2","62.8","82.6"
"Q 7","78.6","83.6","76.6","81.0","63.4","75.4","68.3","76.4","77.6","81.3","61.4","67.8"
"Q 8","45.7","49.8","83.2","85.0","80.4","86.1","33.3","64.4","85.8","84.9","33.8","31.2"
"Q 9","76.2","83.9","78.0","86.3","85.0","86.7","21.5","72.7","68.1","75.7","30.3","48.0"
"Q 10","0.0","0.0","82.1","88.5","73.4","79.3","0.0","0.0","0.0","0.0","0.0","0.0"
