"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","sob_pre","sob_post","hrt_pre","hrt_post","fever_pre","fever_post","aph_pre","aph_post"
"Q 1",92.5,97.2,80.9,85.6,93,97.9,96.6,96.9,88.7,94.4,32.6,69.9,52.9,79.6
"Q 2",73.5,88.8,84.3,93.7,75.1,81.3,59.4,59.4,85.4,89.3,88.4,91.4,92.4,96.2
"Q 3",52.8,72.1,83,93,64.4,85,51.3,53.8,30.7,28.7,82.6,88.4,87.2,93.7
"Q 4",75.1,82.7,68.4,85.1,73.5,77.8,55.5,59.7,16.9,16.1,79.8,93.4,86.6,88.8
"Q 5",97.8,98.6,97.9,99.2,82.1,89.3,66.8,85.9,82.5,88.7,45.3,51.9,67.3,80.9
"Q 6",64.8,76.3,84.3,87.2,55.3,71.1,84.8,90.4,73.2,79.7,60.8,65.5,84.2,92.9
"Q 7",90.2,96.4,45.4,59,88.8,91.7,88.7,93.2,83.4,96.3,73.8,82.6,88.8,93.5
"Q 8",67.9,88.8,53.5,59.8,82.4,90.1,0,0,85.9,90.7,70.4,89.5,83.7,92.1
"Q 9",53.9,83.2,55.4,74.4,65.5,68.4,0,0,82.8,91.3,49.7,65.7,82.3,94
"Q 10",61.7,81.3,73.9,83.6,79.1,87.7,0,0,85.6,90.4,79.8,81.2,86.4,92.1
