"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","gdm_pre","gdm_post","aph_pre","aph_post","epi_pre","epi_post"
"Q 1","78.6","84.6","88.2","97.3","55.3","62.7","55.3","68.2","55.3","75.2","75.0","86.2"
"Q 2","86.4","87.1","41.7","50.0","82.7","89.8","91.2","96.1","38.3","55.8","61.5","77.8"
"Q 3","91.7","95.3","76.9","80.9","72.7","83.8","47.8","76.3","64.8","76.2","91.8","94.0"
"Q 4","97.5","98.6","69.1","83.2","58.1","75.7","66.1","80.7","26.9","46.4","28.0","33.4"
"Q 5","60.3","64.1","93.1","94.5","83.8","88.6","55.4","66.0","62.2","80.2","72.7","86.8"
"Q 6","92.3","93.9","60.7","92.0","6.0","15.5","55.7","80.6","71.1","83.9","92.5","96.6"
"Q 7","96.7","97.7","46.6","55.1","84.2","87.5","71.7","90.9","87.5","93.3","76.5","88.4"
"Q 8","57.8","79.2","87.3","94.8","77.4","78.8","27.6","53.1","88.0","92.6","47.0","67.5"
"Q 9","58.7","67.6","86.7","91.0","66.8","75.5","95.1","97.2","68.5","80.2","90.8","94.4"
"Q 10","80.5","89.9","85.9","87.6","91.1","93.4","91.3","96.1","45.3","67.6","52.5","64.8"
