"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","gdm_pre","gdm_post","aph_pre","aph_post"
"Q 1","78.1","84.4","90.7","98.5","57.3","65.5","46.2","67.7","42.6","75.6"
"Q 2","87.4","76.9","47.6","52.7","74.7","85.5","86.2","95.7","43.4","64.4"
"Q 3","86.9","96.0","76.8","78.2","76.5","83.3","34.8","76.2","69.9","84.4"
"Q 4","97.4","98.9","70.9","81.9","61.7","77.0","61.1","80.3","15.1","34.0"
"Q 5","63.4","56.1","81.8","88.3","84.5","89.5","49.3","63.1","60.7","87.6"
"Q 6","95.8","96.8","58.1","94.3","4.7","4.8","47.4","83.1","63.9","77.2"
"Q 7","92.7","96.9","57.5","61.2","85.3","89.0","64.3","93.1","91.7","96.4"
"Q 8","65.5","85.5","90.0","96.9","81.3","82.0","25.2","51.0","6.5","2.0"
"Q 9","63.9","69.8","79.6","90.0","56.0","71.5","96.9","99.0","72.2","87.3"
"Q 10","86.3","94.4","86.9","92.0","91.8","94.4","92.8","97.4","47.6","77.2"
