"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","gdm_pre","gdm_post","aph_pre","aph_post","tb_pre","tb_post","sob_pre","sob_post","lscs_pre","lscs_post","jau_pre","jau_post","hrt_pre","hrt_post","epi_pre","epi_post"
"Q 1","81.9","85.7","92.3","97.3","57.7","72.3","56.3","66.1","62.0","85.0","96.1","96.1","65.7","88.6","95.3","97.5","92.5","97.9","80.5","85.5","77.6","94.0"
"Q 2","91.9","88.1","43.2","48.2","72.3","86.4","92.2","97.4","43.2","62.7","73.2","95.0","81.0","93.5","89.0","95.3","38.5","92.0","95.2","96.6","56.3","87.1"
"Q 3","90.0","97.1","78.6","84.5","76.4","81.4","51.7","79.1","68.3","81.9","86.0","95.6","82.1","93.3","82.2","87.0","53.3","49.7","60.5","72.5","97.9","98.3"
"Q 4","97.1","98.6","74.5","85.0","65.0","83.2","71.6","85.5","20.0","34.5","15.6","32.7","60.0","68.2","88.8","94.2","66.9","78.5","88.8","91.8","16.3","24.1"
"Q 5","57.1","52.4","84.5","95.5","90.0","90.9","58.7","71.1","76.5","90.1","82.1","93.3","81.0","92.4","84.5","91.7","69.7","81.1","66.1","82.3","73.8","95.3"
"Q 6","95.7","95.7","70.0","95.5","6.8","25.0","54.5","86.8","65.3","70.7","83.5","93.3","94.4","96.6","70.0","78.5","83.0","90.1","97.7","97.9","96.6","99.4"
"Q 7","94.8","98.1","58.2","58.2","90.9","93.6","69.5","88.4","87.8","96.9","48.0","64.7","85.7","90.5","93.0","96.7","82.4","95.3","45.9","25.4","82.2","93.6"
"Q 8","61.9","85.2","90.9","100.0","86.4","83.2","20.9","36.2","95.3","95.3","98.6","98.8","98.3","99.6","53.9","69.2","88.2","96.6","94.9","95.7","42.8","80.2"
"Q 9","58.1","66.7","82.3","94.1","64.5","75.0","97.9","99.5","70.0","90.8","89.9","96.1","42.3","60.3","92.8","98.1","66.9","82.8","80.9","89.9","97.0","98.5"
"Q 10","85.7","91.4","86.8","95.5","93.6","97.3","88.9","98.7","48.1","74.2","65.5","92.2","95.5","98.0","90.5","94.8","81.9","85.8","35.1","56.7","42.8","69.2"
