"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","gdm_pre","gdm_post","aph_pre","aph_post"
"Q 1","81.9","85.7","92.3","97.3","57.7","72.3","56.3","66.1","62.0","85.0"
"Q 2","91.9","88.1","43.2","48.2","72.3","86.4","92.2","97.4","43.2","62.7"
"Q 3","90.0","97.1","78.6","84.5","76.4","81.4","51.7","79.1","68.3","81.9"
"Q 4","97.1","98.6","74.5","85.0","65.0","83.2","71.6","85.5","20.0","34.5"
"Q 5","57.1","52.4","84.5","95.5","90.0","90.9","58.7","71.1","76.5","90.1"
"Q 6","95.7","95.7","70.0","95.5","6.8","25.0","54.5","86.8","65.3","70.7"
"Q 7","94.8","98.1","58.2","58.2","90.9","93.6","69.5","88.4","87.8","96.9"
"Q 8","61.9","85.2","90.9","100.0","86.4","83.2","20.9","36.2","95.3","95.3"
"Q 9","58.1","66.7","82.3","94.1","64.5","75.0","97.9","99.5","70.0","90.8"
"Q 10","85.7","91.4","86.8","95.5","93.6","97.3","88.9","98.7","48.1","74.2"
