"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","gdm_pre","gdm_post","aph_pre","aph_post"
"Q 1","65.4","72.7","84.2","93.8","54.9","59.0","48.3","63.9","58.1","76.5"
"Q 2","64.9","74.4","46.2","48.7","41.2","70.8","62.5","80.7","27.7","30.1"
"Q 3","60.9","81.4","31.5","29.0","37.8","53.5","22.1","60.8","37.0","66.8"
"Q 4","97.2","98.8","83.9","92.7","53.5","72.9","39.6","62.0","27.5","51.2"
"Q 5","44.7","45.9","68.7","81.7","70.6","80.0","51.5","66.2","73.0","87.9"
"Q 6","78.1","80.9","52.7","77.2","13.9","36.0","56.4","87.9","40.3","68.5"
"Q 7","84.5","89.6","51.0","59.2","85.0","86.6","48.5","82.8","78.9","89.6"
"Q 8","71.8","91.1","51.0","71.8","59.0","67.0","32.2","46.6","73.5","69.4"
"Q 9","44.0","52.2","82.0","89.6","37.4","61.3","87.6","92.3","67.8","84.8"
"Q 10","73.2","83.3","23.4","60.6","72.2","78.1","79.5","91.8","20.9","32.7"
