"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","hrt_pre","hrt_post","sob_pre","sob_post","fever_pre","fever_post","aph_pre","aph_post"
"Q 1","89.5","95.3","60.5","69.8","91.8","92.9","81.8","89.8","85.2","86.4","34.1","60.2","33.0","59.1"
"Q 2","68.6","89.5","89.5","93.0","62.4","69.4","71.6","78.4","44.3","45.5","78.4","85.2","94.3","92.0"
"Q 3","52.3","65.1","73.3","72.1","67.1","85.9","72.7","87.5","56.8","70.5","76.1","79.5","72.7","86.4"
"Q 4","70.9","67.4","55.8","70.9","76.5","74.1","15.9","15.9","36.4","42.0","70.5","80.7","96.6","96.6"
"Q 5","96.5","97.7","97.7","100.0","83.5","90.6","76.1","78.4","39.8","72.7","43.2","47.7","71.6","71.6"
"Q 6","58.1","76.7","83.7","80.2","72.9","80.0","84.1","89.8","87.5","84.1","73.9","79.5","77.3","81.8"
"Q 7","81.4","86.0","43.0","43.0","75.3","85.9","71.6","89.8","79.5","89.8","60.2","71.6","73.9","79.5"
"Q 8","68.6","94.2","43.0","38.4","78.8","87.1","83.0","81.8","0.0","0.0","70.5","88.6","84.1","78.4"
"Q 9","76.7","82.6","45.3","47.7","1.2","2.4","79.5","89.8","0.0","0.0","44.3","50.0","64.8","79.5"
"Q 10","73.3","87.2","67.4","66.3","65.9","78.8","62.5","77.3","0.0","0.0","71.6","78.4","63.6","71.6"
