"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","gdm_pre","gdm_post","aph_pre","aph_post"
"Q 1",34.2227378190255,49.0719257540603,81.7342903178556,89.1753332356818,91.7972755236561,95.1955470924271,17.7917981072555,63.5488958990536,42.7922992643606,73.0474252621694
"Q 2",79.3358468677494,87.9640371229698,78.0430643035008,90.1420829061081,52.2923685366925,69.0054196572433,17.5394321766561,51.9716088328076,83.3150727813429,90.7340741900141
"Q 3",64.1096287703016,75,70.6313168302329,81.924710707485,72.4329866705727,84.136516771642,36.8454258675079,55.1261829652997,58.6946313977148,74.9413053686023
"Q 4",51.2470997679814,63.4860788863109,71.0707484986085,78.5264391387139,83.7117328255456,82.3494946535814,42.7602523659306,56.3564668769716,90.4836437627172,95.5079042103616
"Q 5",97.4332946635731,98.7819025522042,97.9932620477516,98.9014208290611,82.159074263952,91.8412186904936,84.4952681388013,94.2586750788644,49.3034903740804,74.7691344498356
"Q 6",73.7674013921114,83.9762180974478,68.2290903764465,75.2014061813388,43.6941555588106,68.9614764904057,85.8044164037855,89.4952681388013,75.0978243856629,84.6767882297699
"Q 7",81.6705336426914,94.2720417633411,53.1126409843269,57.8877984473414,85.396220887652,86.7731067818954,24.9526813880126,57.4447949526814,84.5672249178275,90.6245108780717
"Q 8",83.4396751740139,92.3433874709977,42.2000878863337,54.2405155998242,78.7168595283433,88.9702651237732,66.1671924290221,61.1198738170347,51.6043199248709,63.938018469244
"Q 9",56.5255220417633,82.1345707656613,41.8045993847957,59.8798886773107,37.9376007030907,53.6546067086568,86.0252365930599,89.3059936908517,69.5570511817186,83.04899045234
"Q 10",76.3196055684455,85.4843387470998,61.8133880181632,66.5006591475026,73.9270543430497,77.5743371905669,16.7981072555205,38.6750788643533,59.1641884488965,73.9239317577086
