"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Adilabad","epi",4.8,1.7,47.6,5.8,1.9,57.6,0
"Adilabad","hrt",6,2.5,60.4,6.6,2.2,65.9,0.020702
"Adilabad","jau",3.4,1.3,33.8,5.6,1.9,55.7,0
"Adilabad","lscs",6.6,2.3,65.7,7.3,2.1,72.9,0.001273
"Adilabad","sob",4.3,1.5,43.4,4.7,1.4,47.1,0.012255
"Adilabad","tb",4.6,1.9,46.1,5.5,2.1,54.8,1.9e-05
"Bhadradri Kothagudem","epi",5.1,1.6,50.9,5.8,1.7,57.7,7e-06
"Bhadradri Kothagudem","hrt",7.4,1.8,74.4,7.6,1.8,76.3,0.233559
"Bhadradri Kothagudem","jau",5,1.8,49.8,6.7,2,67.4,0
"Bhadradri Kothagudem","lscs",7.9,1.9,79.1,8.2,1.9,81.8,0.105163
"Bhadradri Kothagudem","sob",6.7,1.6,66.6,7.2,1.5,72.4,3.9e-05
"Bhadradri Kothagudem","tb",5.4,1.7,54.5,6.1,1.9,61.1,4.2e-05
"Hyderabad","epi",5.1,1.7,50.6,5.4,1.8,54.1,0.018103
"Hyderabad","hrt",7,2,70.4,7.2,2,72.3,0.248845
"Hyderabad","jau",4,1.5,39.6,5.6,2,55.7,0
"Hyderabad","lscs",7.5,1.9,74.8,7.8,2.2,77.6,0.116293
"Hyderabad","sob",6.2,1.7,61.9,6.4,1.7,63.9,0.14694
"Hyderabad","tb",5.3,2,52.5,5.6,1.9,56,0.037251
"Jagtial","epi",4.7,1.6,47.1,5.6,1.5,55.8,0
"Jagtial","hrt",7,1.9,70.3,7.7,1.7,77.4,4e-05
"Jagtial","jau",4,1.4,40.3,6.9,1.9,69.4,0
"Jagtial","lscs",7.3,2,73.2,8,1.8,79.7,0.000363
"Jagtial","sob",6,1.7,60.1,7.2,1.6,72.4,0
"Jagtial","tb",5.2,2,52.4,6.4,1.8,64.3,0
"Jangaon","epi",4.4,1.8,44.1,5.9,1.8,59.2,0
"Jangaon","hrt",6.1,2.6,60.8,7.4,1.9,73.8,2e-06
"Jangaon","jau",3.3,1.5,33.3,7.2,1.4,72.5,0
"Jangaon","lscs",6.7,2.3,67,7.7,2,77.1,7e-05
"Jangaon","sob",5.7,2,57,7.2,1.6,72,0
"Jangaon","tb",4.9,2.1,48.6,6.5,1.9,65.3,0
"Jayashankar Bhupalpally","epi",4.8,1.6,48.4,5.4,1.9,54.1,0.015776
"Jayashankar Bhupalpally","hrt",7.1,1.8,71.2,7.3,1.8,73.4,0.38309
"Jayashankar Bhupalpally","jau",3.5,1.3,34.8,6.2,1.8,62,0
"Jayashankar Bhupalpally","lscs",7,1.9,69.8,7.5,1.9,74.7,0.055152
"Jayashankar Bhupalpally","sob",7.1,1.5,70.6,6.6,1.6,66.4,0.053383
"Jayashankar Bhupalpally","tb",5.9,1.6,59.4,6.3,1.6,62.6,0.149632
"Jogulamba Gadwal","epi",5.3,1.7,53.3,5.9,1.6,59.4,0.00424
"Jogulamba Gadwal","hrt",7.8,1.6,77.5,8.1,1.2,81,0.044598
"Jogulamba Gadwal","jau",3.9,1.3,39.2,6.2,1.6,62.3,0
"Jogulamba Gadwal","lscs",8,1.5,79.7,8.8,1.2,87.8,1.5e-05
"Jogulamba Gadwal","sob",6.8,1.2,68,7,1.2,69.5,0.34097
"Jogulamba Gadwal","tb",6,1.5,60,6.7,1.4,66.8,0.000415
"Kamareddy","epi",5,1.6,50,5.3,1.6,52.9,0.044206
"Kamareddy","hrt",7.1,2.1,71.2,7.4,2.1,74.2,0.097694
"Kamareddy","jau",3.8,1.5,38.1,5.5,1.7,55,0
"Kamareddy","lscs",7.8,1.8,78.4,8,1.8,80.2,0.26156
"Kamareddy","sob",6.4,1.6,63.5,7,1.8,69.8,3.9e-05
"Kamareddy","tb",5.5,1.9,55.4,5.8,2,58.1,0.123803
"Karimnagar","epi",4.9,1.7,48.9,6,1.5,59.8,0
"Karimnagar","hrt",7.1,2.1,70.5,7.3,2,72.6,0.25961
"Karimnagar","jau",4,1.7,39.8,6.8,1.6,67.8,0
"Karimnagar","lscs",7.2,2.2,71.8,7.7,1.9,76.6,0.010892
"Karimnagar","sob",6.2,1.8,62.3,7,1.6,69.5,3e-06
"Karimnagar","tb",5.1,2,50.5,5.9,1.7,58.6,2e-06
"Khammam","epi",5.1,1.7,51.2,5.7,1.6,57,1.7e-05
"Khammam","hrt",7.6,1.6,75.8,7.9,1.5,78.7,0.022386
"Khammam","jau",4.3,1.5,43.4,6.8,1.7,68.4,0
"Khammam","lscs",7.9,1.9,79.1,8.1,1.7,80.9,0.210184
"Khammam","sob",6.4,1.5,63.8,6.8,1.5,67.6,0.001899
"Khammam","tb",6.1,1.7,61.4,6.5,1.8,65.5,0.004919
"Komaram Bheem Asifabad","epi",4.9,1.8,49,6,1.8,59.8,5e-06
"Komaram Bheem Asifabad","hrt",6.8,1.9,67.5,6.7,2.2,67.4,0.974696
"Komaram Bheem Asifabad","jau",3.5,1.4,35.5,5.2,1.7,51.8,0
"Komaram Bheem Asifabad","lscs",7.1,2,71.4,7.8,2.3,78.3,0.012805
"Komaram Bheem Asifabad","sob",6.6,1.4,65.6,6.9,1.7,69,0.091525
"Komaram Bheem Asifabad","tb",4.6,1.8,45.9,5.3,2,53.1,0.00351
"Mahabubabad","epi",5,1.7,50.4,6.4,1.4,63.6,0
"Mahabubabad","hrt",6.6,2.2,66,7.3,1.9,73.2,0.000145
"Mahabubabad","jau",3.6,1.6,36.5,6.8,1.9,67.6,0
"Mahabubabad","lscs",7.1,2.3,71.2,7.9,1.9,78.8,7.1e-05
"Mahabubabad","sob",5.8,1.9,58.4,7,1.4,69.7,0
"Mahabubabad","tb",4.9,2,48.9,5.7,1.9,57.3,3e-06
