"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Adilabad","ane",6.3,1.9,63.3,7.2,2,71.9,0.018431
"Adilabad","aph",7.5,1.4,75.3,8.8,1.7,88.1,1e-06
"Adilabad","epi",4.8,1.7,47.6,5.8,1.9,57.6,0
"Adilabad","gdm",5.8,2.3,58.4,6,2,59.7,0.705886
"Adilabad","hrt",6,2.5,60.4,6.6,2.2,65.9,0.020702
"Adilabad","htn",7.4,1.5,73.9,8.3,1.4,83.3,7.3e-05
"Adilabad","jau",3.4,1.3,33.8,5.6,1.9,55.7,0
"Adilabad","lscs",6.6,2.3,65.7,7.3,2.1,72.9,0.001273
"Adilabad","qanc",7.4,1.9,73.6,8.3,1.4,82.7,0.001059
"Adilabad","sob",4.3,1.5,43.4,4.7,1.4,47.1,0.012255
"Adilabad","tb",4.6,1.9,46.1,5.5,2.1,54.8,1.9e-05
"Bhadradri Kothagudem","ane",7.1,1.5,70.9,7.7,1.4,77.3,0
"Bhadradri Kothagudem","aph",6.7,2,66.5,8.5,1.5,85.1,0
"Bhadradri Kothagudem","epi",5.1,1.6,50.9,5.8,1.7,57.7,7e-06
"Bhadradri Kothagudem","gdm",5.2,1.4,52,6.6,1.5,66.2,0
"Bhadradri Kothagudem","hrt",7.4,1.8,74.4,7.6,1.8,76.3,0.233559
"Bhadradri Kothagudem","htn",7.4,1.5,73.9,8.2,1.4,82.4,0
"Bhadradri Kothagudem","jau",5,1.8,49.8,6.7,2,67.4,0
"Bhadradri Kothagudem","lscs",7.9,1.9,79.1,8.2,1.9,81.8,0.105163
"Bhadradri Kothagudem","qanc",7.2,1.5,71.9,9.1,1,91.2,0
"Bhadradri Kothagudem","sob",6.7,1.6,66.6,7.2,1.5,72.4,3.9e-05
"Bhadradri Kothagudem","tb",5.4,1.7,54.5,6.1,1.9,61.1,4.2e-05
"Hyderabad","ane",6.4,1.8,64.3,8.7,1.6,87.3,0
"Hyderabad","aph",6.4,2.2,64.2,9.4,1.1,94.1,0
"Hyderabad","epi",5.1,1.7,50.6,5.4,1.8,54.1,0.018103
"Hyderabad","gdm",4.8,1.5,48.2,8,1.4,80.3,0
"Hyderabad","hrt",7,2,70.4,7.2,2,72.3,0.248845
"Hyderabad","htn",7.3,1.6,73.4,9.1,1.3,90.8,0
"Hyderabad","jau",4,1.5,39.6,5.6,2,55.7,0
"Hyderabad","lscs",7.5,1.9,74.8,7.8,2.2,77.6,0.116293
"Hyderabad","qanc",6.7,1.7,67.5,9,1.3,89.5,0
"Hyderabad","sob",6.2,1.7,61.9,6.4,1.7,63.9,0.14694
"Hyderabad","tb",5.3,2,52.5,5.6,1.9,56,0.037251
"Jagtial","ane",7.4,1.7,73.5,7.4,1.5,74.4,0.559123
"Jagtial","aph",6.7,2,66.6,7.7,1.8,77.3,0
"Jagtial","epi",4.7,1.6,47.1,5.6,1.5,55.8,0
"Jagtial","gdm",5.2,1.3,52.4,5.3,1.4,53.3,0.468616
"Jagtial","hrt",7,1.9,70.3,7.7,1.7,77.4,4e-05
"Jagtial","htn",6.6,1.8,65.7,8.6,1,85.6,0
"Jagtial","jau",4,1.4,40.3,6.9,1.9,69.4,0
"Jagtial","lscs",7.3,2,73.2,8,1.8,79.7,0.000363
"Jagtial","qanc",7.2,1.6,71.6,8.5,1.1,84.8,0
"Jagtial","sob",6,1.7,60.1,7.2,1.6,72.4,0
"Jagtial","tb",5.2,2,52.4,6.4,1.8,64.3,0
"Jangaon","ane",6.8,2,68.2,7.6,1.7,75.8,0.00025
"Jangaon","aph",6.5,2,65.5,7.8,2,77.7,0
"Jangaon","gdm",4.3,1.4,42.6,5.8,1.8,58.1,0
"Jangaon","htn",6.6,1.9,66.3,7.3,1.9,73.3,0.001127
"Jangaon","qanc",6.8,1.7,67.9,8,1.5,80.4,0
"Jayashankar Bhupalpally","ane",6,2,59.7,6.6,1.9,65.7,0.024381
"Jayashankar Bhupalpally","aph",5.9,2.3,59.3,8.5,1.9,84.7,0
"Jayashankar Bhupalpally","epi",4.8,1.7,48.3,5.4,1.9,53.9,0.017124
"Jayashankar Bhupalpally","gdm",4.5,1.5,44.8,5.4,1.5,53.9,6.9e-05
"Jayashankar Bhupalpally","hrt",7.1,1.9,71.2,7.3,1.8,73.2,0.402096
"Jayashankar Bhupalpally","htn",6.1,1.9,61.5,7.4,1.9,73.8,6.9e-05
"Jayashankar Bhupalpally","jau",3.5,1.3,34.7,6.2,1.8,62,0
"Jayashankar Bhupalpally","lscs",7,1.9,69.7,7.4,1.9,74.4,0.063188
"Jayashankar Bhupalpally","qanc",6.8,1.9,68.5,7.5,1.7,75.1,0.007396
"Jayashankar Bhupalpally","sob",7.1,1.5,70.7,6.6,1.6,66.3,0.042921
"Jayashankar Bhupalpally","tb",6,1.6,59.5,6.2,1.6,62.4,0.188391
"Jogulamba Gadwal","ane",7,1.5,70.3,8.4,1.4,83.8,0
"Jogulamba Gadwal","aph",6.9,2,68.6,9.3,1,93.1,0
