"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Adilabad","ane",6.3,1.9,63.3,7.2,2,71.9,0.018431
"Adilabad","aph",7.5,1.4,75.3,8.8,1.7,88.1,1e-06
"Adilabad","gdm",5.8,2.3,58.4,6,2,59.7,0.705886
"Adilabad","htn",7.4,1.5,73.9,8.3,1.4,83.3,7.3e-05
"Adilabad","qanc",7.4,1.9,73.6,8.3,1.4,82.7,0.001059
"Bhadradri Kothagudem","ane",7.1,1.5,70.9,7.7,1.4,77.3,0
"Bhadradri Kothagudem","aph",6.7,2,66.5,8.5,1.5,85.1,0
"Bhadradri Kothagudem","gdm",5.2,1.4,52,6.6,1.5,66.2,0
"Bhadradri Kothagudem","htn",7.4,1.5,73.9,8.2,1.4,82.4,0
"Bhadradri Kothagudem","qanc",7.2,1.5,71.9,9.1,1,91.2,0
"Hyderabad","ane",6.4,1.8,64.3,8.7,1.6,87.3,0
"Hyderabad","aph",6.4,2.2,64.2,9.4,1.1,94.1,0
"Hyderabad","gdm",4.8,1.5,48.2,8,1.4,80.3,0
"Hyderabad","htn",7.3,1.6,73.4,9.1,1.3,90.8,0
"Hyderabad","qanc",6.7,1.7,67.5,9,1.3,89.5,0
"Jagtial","ane",7.4,1.7,73.5,7.4,1.5,74.4,0.559123
"Jagtial","aph",6.7,2,66.6,7.7,1.8,77.3,0
"Jagtial","gdm",5.2,1.3,52.4,5.3,1.4,53.3,0.468616
"Jagtial","htn",6.6,1.8,65.7,8.6,1,85.6,0
"Jagtial","qanc",7.2,1.6,71.6,8.5,1.1,84.8,0
"Jangaon","ane",6.8,2,68.2,7.6,1.7,75.8,0.00025
"Jangaon","aph",6.5,2,65.5,7.8,2,77.7,0
"Jangaon","gdm",4.3,1.4,42.6,5.8,1.8,58.1,0
"Jangaon","htn",6.6,1.9,66.3,7.3,1.9,73.3,0.001127
"Jangaon","qanc",6.8,1.7,67.9,8,1.5,80.4,0
"Jayashankar Bhupalpally","ane",6,2,59.7,6.6,1.9,65.7,0.024381
"Jayashankar Bhupalpally","aph",5.9,2.3,59.3,8.5,1.9,84.7,0
"Jayashankar Bhupalpally","gdm",4.5,1.5,44.8,5.4,1.5,53.9,6.9e-05
"Jayashankar Bhupalpally","htn",6.1,1.9,61.5,7.4,1.9,73.8,6.9e-05
"Jayashankar Bhupalpally","qanc",6.8,1.9,68.5,7.5,1.7,75.1,0.007396
"Jogulamba Gadwal","ane",7,1.5,70.3,8.4,1.4,83.8,0
"Jogulamba Gadwal","aph",6.9,2,68.6,9.3,1,93.1,0
"Jogulamba Gadwal","gdm",4.6,1.4,45.5,7.4,1.6,74.4,0
"Jogulamba Gadwal","htn",7.3,1.8,72.5,8.7,1.5,87.5,0
"Jogulamba Gadwal","qanc",6.8,1.6,68.1,8.9,1.4,89,0
"Kamareddy","ane",6.7,1.9,67,7.2,1.8,71.5,0.005905
"Kamareddy","aph",6.7,2,66.9,7.5,2,74.6,0.000174
"Kamareddy","gdm",4.5,1.5,45.2,5.6,1.6,56,0
"Kamareddy","htn",6.8,2,68.4,7.7,1.8,77,1e-06
"Kamareddy","qanc",7,1.7,70.3,8.2,1.6,81.7,0
"Karimnagar","ane",6.8,1.8,68.1,7.1,1.8,71,0.072187
"Karimnagar","aph",7.2,2.1,71.5,8.2,1.9,81.6,2e-06
"Karimnagar","gdm",5.4,1.5,53.7,5.8,1.7,58.3,0.003432
"Karimnagar","htn",7.5,1.7,75.4,8,1.8,79.5,0.010773
"Karimnagar","qanc",7.5,1.6,75,8.1,1.5,81.2,1.2e-05
"Khammam","ane",7.4,1.7,74,8.2,1.6,82.4,0
"Khammam","aph",7.2,1.7,72.3,8.7,1.4,86.7,0
"Khammam","gdm",5.6,1.8,56.5,7.9,1.6,79.1,0
"Khammam","htn",8.1,1.3,80.9,8.7,1.3,87.4,0
"Khammam","qanc",7.3,1.6,73.2,8.9,1.2,89,0
"Komaram Bheem Asifabad","ane",6.7,1.3,66.6,6.3,1.3,63.2,0.146031
"Komaram Bheem Asifabad","aph",6.4,2,63.9,6.8,1.9,67.9,0.456496
"Komaram Bheem Asifabad","gdm",7.3,1.8,72.7,6.7,1.7,67.5,0.087762
"Komaram Bheem Asifabad","htn",8.1,1.1,81.2,7.9,1.3,79.4,0.453538
"Komaram Bheem Asifabad","qanc",6.9,1.5,69.4,7.2,1.3,72.3,0.167731
"Mahabubabad","ane",6.5,1.9,65.3,7.1,2.1,71.3,0.000648
"Mahabubabad","aph",6.8,2.1,68.5,7.7,2.2,77,9e-06
"Mahabubabad","gdm",4.9,1.6,48.6,6.2,1.7,61.8,0
"Mahabubabad","htn",6.8,1.8,68.2,7.6,2.1,75.5,6.1e-05
"Mahabubabad","qanc",7.1,1.8,70.5,7.7,1.7,77.4,3.6e-05
"Mahabubnagar","ane",6.9,1.8,68.7,8,1.9,80.4,0
"Mahabubnagar","aph",7.3,2,73.5,8.8,1.6,88.1,0
"Mahabubnagar","gdm",4.9,1.4,48.7,8.1,1.9,80.8,0
