"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Shravasti","ane",6,1.6,60.4,7.4,1.8,73.6,0.008064
"Shravasti","aph",5.5,1.4,55.2,7.1,1.7,71.4,0.001458
"Shravasti","fever",6.1,1.8,61.2,7.2,1.7,71.9,0.032971
"Shravasti","hrt",6.2,2,62.1,6.9,1.9,69.2,0.21318
"Shravasti","htn",6.1,1.8,61.4,6.5,2.1,65,0.545105
"Shravasti","qanc",8,2,80,7.8,2,77.8,0.688057
"Shravasti","sob",6.8,2.1,68.3,6.9,1.7,69.2,0.880316
"Sambhal","ane",6.8,1.8,68.2,7.6,1,76.4,0.073046
"Sambhal","aph",5.5,1.8,55,7.2,2,72,0.001199
"Sambhal","fever",6.6,1.8,65.8,7.4,1.2,74.2,0.061619
"Sambhal","hrt",5.6,1.5,55.8,6.2,1.6,61.9,0.158979
"Sambhal","htn",6.8,1.6,67.9,6.9,1.4,69.2,0.776542
"Sambhal","qanc",7.3,1.6,73.1,7.7,1.4,76.6,0.397452
"Sambhal","sob",6.3,2.3,62.7,7,1.4,70,0.171131
"Kaushambi","ane",6.2,1.6,62.1,7.8,1.4,78.1,0
"Kaushambi","aph",5.1,1.9,50.7,6,1.8,59.7,0.001206
"Kaushambi","fever",6.2,1.8,62,7.4,1.4,74.5,1e-06
"Kaushambi","hrt",4.6,1.5,46.5,4.6,1.1,46,0.777248
"Kaushambi","htn",5.7,1.5,56.7,6.1,1.3,61.4,0.02366
"Kaushambi","qanc",7.1,1.8,71.4,7.5,1.3,74.7,0.158659
"Kaushambi","sob",6.3,1.9,63.2,7,1.7,69.8,0.013002
"Overall Average","ane",6.3,1.7,62.8,7.7,1.5,77,NA
"Overall Average","aph",5.2,1.8,52.3,6.4,1.9,63.9,NA
"Overall Average","fever",6.2,1.8,62.5,7.4,1.4,74,NA
"Overall Average","hrt",5.1,1.7,50.8,5.3,1.6,52.7,NA
"Overall Average","htn",5.9,1.6,59.4,6.3,1.5,63.3,NA
"Overall Average","qanc",7.3,1.8,73.3,7.6,1.5,75.6,NA
"Overall Average","sob",6.4,2,64,7,1.6,69.7,NA
